frame,filename,x,y,z,az,pitch,roll,bearing,elevation,reproj_err_px
194,000194.png,0.846228,-0.917413,3.628868,13.126,13.831,0.000,13.126,14.188,0.168
195,000195.png,0.855089,-0.908660,3.593003,13.387,13.822,0.000,13.387,14.192,0.120
196,000196.png,0.867675,-0.901948,3.574447,13.644,13.778,0.000,13.644,14.162,0.157
197,000197.png,0.898272,-0.914540,3.616689,13.948,13.788,0.000,13.948,14.191,0.316
198,000198.png,0.914066,-0.909826,3.610676,14.206,13.727,0.000,14.206,14.143,0.123
201,000201.png,0.957568,-0.893697,3.562487,15.045,13.618,0.000,15.045,14.083,0.114
202,000202.png,0.974111,-0.891170,3.565023,15.283,13.557,0.000,15.283,14.035,0.106
203,000203.png,0.994654,-0.892526,3.570358,15.567,13.540,0.000,15.567,14.035,0.110
204,000204.png,1.011245,-0.887524,3.563041,15.845,13.476,0.000,15.845,13.987,0.162
205,000205.png,1.028613,-0.890868,3.566817,16.087,13.495,0.000,16.087,14.024,0.353
206,000206.png,1.030706,-0.877832,3.513825,16.348,13.481,0.000,16.348,14.027,0.175
207,000207.png,1.062247,-0.886133,3.561355,16.608,13.411,0.000,16.608,13.973,0.349
208,000208.png,1.072656,-0.882680,3.539125,16.861,13.424,0.000,16.861,14.004,0.108
209,000209.png,1.075973,-0.869965,3.501998,17.079,13.358,0.000,17.079,13.951,0.186
210,000210.png,1.101351,-0.877300,3.540606,17.279,13.311,0.000,17.279,13.917,0.342
211,000211.png,1.120665,-0.882579,3.551516,17.513,13.333,0.000,17.513,13.956,0.385
212,000212.png,1.134825,-0.877221,3.547160,17.741,13.254,0.000,17.741,13.891,0.324
213,000213.png,1.134585,-0.867815,3.502761,17.948,13.262,0.000,17.948,13.915,0.092
214,000214.png,1.169343,-0.882747,3.561757,18.175,13.250,0.000,18.175,13.920,0.107
215,000215.png,1.164543,-0.865253,3.499222,18.407,13.204,0.000,18.407,13.889,0.181
216,000216.png,1.180676,-0.869641,3.509998,18.592,13.215,0.000,18.592,13.915,0.085
217,000217.png,1.180382,-0.856806,3.468941,18.792,13.161,0.000,18.792,13.874,0.132
218,000218.png,1.206098,-0.864243,3.504034,18.994,13.128,0.000,18.994,13.855,0.089
219,000219.png,1.214589,-0.858416,3.485274,19.213,13.093,0.000,19.213,13.836,0.110
220,000220.png,1.256614,-0.872971,3.559078,19.447,13.023,0.000,19.447,13.781,0.344
221,000221.png,1.248863,-0.854393,3.494222,19.667,12.966,0.000,19.667,13.740,0.111
222,000222.png,1.253314,-0.843678,3.465633,19.882,12.895,0.000,19.882,13.682,0.138
223,000223.png,1.291949,-0.854398,3.523728,20.135,12.825,0.000,20.135,13.629,0.077
224,000224.png,1.282276,-0.833081,3.447919,20.400,12.760,0.000,20.400,13.583,0.092
225,000225.png,1.306922,-0.837797,3.463018,20.676,12.754,0.000,20.676,13.600,0.164
226,000226.png,1.327516,-0.839131,3.468469,20.944,12.732,0.000,20.944,13.600,0.168
227,000227.png,1.343224,-0.836565,3.461565,21.208,12.697,0.000,21.208,13.586,0.122
228,000228.png,1.365623,-0.837014,3.471269,21.475,12.647,0.000,21.475,13.557,0.200
229,000229.png,1.372808,-0.828631,3.438014,21.767,12.617,0.000,21.767,13.551,0.101
230,000230.png,1.398473,-0.830322,3.461164,22.001,12.540,0.000,22.001,13.490,0.112
231,000231.png,1.416719,-0.831100,3.455639,22.292,12.546,0.000,22.292,13.523,0.172
232,000232.png,1.421383,-0.826071,3.421497,22.559,12.569,0.000,22.559,13.573,0.113
233,000233.png,1.433284,-0.821795,3.406063,22.822,12.538,0.000,22.822,13.565,0.144
234,000234.png,1.460951,-0.824597,3.426078,23.094,12.484,0.000,23.094,13.533,0.441
235,000235.png,1.458260,-0.816475,3.383140,23.318,12.496,0.000,23.318,13.568,0.217
236,000236.png,1.491586,-0.827824,3.426767,23.522,12.489,0.000,23.522,13.581,0.061
237,000237.png,1.511535,-0.828753,3.430522,23.779,12.466,0.000,23.779,13.581,0.061
238,000238.png,1.502822,-0.814764,3.373545,24.012,12.441,0.000,24.012,13.578,0.263
239,000239.png,1.527043,-0.819160,3.381713,24.302,12.449,0.000,24.302,13.617,0.211
240,000240.png,1.539562,-0.817778,3.378820,24.496,12.421,0.000,24.496,13.606,0.211
242,000242.png,1.588455,-0.828708,3.410166,24.976,12.423,0.000,24.976,13.659,0.170
243,000243.png,1.597855,-0.829749,3.388378,25.247,12.489,0.000,25.247,13.760,0.150
244,000244.png,1.613025,-0.830199,3.392899,25.427,12.461,0.000,25.427,13.749,0.224
245,000245.png,1.604090,-0.819685,3.343810,25.628,12.463,0.000,25.628,13.774,0.089
246,000246.png,1.623612,-0.821834,3.347200,25.876,12.457,0.000,25.876,13.795,0.205
247,000247.png,1.642041,-0.824159,3.344880,26.147,12.472,0.000,26.147,13.842,0.374
248,000248.png,1.671998,-0.831511,3.366514,26.412,12.474,0.000,26.412,13.874,0.127
249,000249.png,1.662140,-0.818135,3.302481,26.716,12.478,0.000,26.716,13.914,0.276
250,000250.png,1.685166,-0.823159,3.302214,27.036,12.519,0.000,27.036,13.997,0.218
