   frame             x             y             z          roll         pitch           yaw
     359      2.061400     -0.013007      4.026399     -0.139137      0.258210    -57.035191
     360      2.061400     -0.013007      4.026399     -0.125432      0.265138    -54.035168
     361      2.061400     -0.013007      4.026399     -0.125432      0.265138    -54.035168
     362      2.061400     -0.013007      4.026399     -0.125432      0.265138    -54.035168
     363      2.061400     -0.013007      4.026399     -0.111384      0.271339    -51.035141
     364      2.061400     -0.013007      4.026399     -0.111384      0.271339    -51.035141
     365      2.061400     -0.013007      4.026399     -0.111384      0.271339    -51.035141
     366      2.061400     -0.013007      4.026399     -0.097030      0.276797    -48.035112
     367      2.061400     -0.013007      4.026399     -0.097030      0.276797    -48.035112
     368      2.061400     -0.013007      4.026399     -0.097030      0.276797    -48.035112
     369      2.061400     -0.013007      4.026399     -0.097030      0.276797    -48.035112
     370      2.061400     -0.013007      4.026399     -0.082411      0.281496    -45.035080
     371      2.061400     -0.013007      4.026399     -0.082411      0.281496    -45.035080
     372      2.061400     -0.013007      4.026399     -0.067565      0.285423    -42.035046
     373      2.061400     -0.013007      4.026399     -0.067565      0.285423    -42.035046
     374      2.061400     -0.013007      4.026399     -0.067565      0.285423    -42.035046
     375      2.061400     -0.013007      4.026399     -0.067565      0.285423    -42.035046
